model,split,accuracy,macro_f1,weighted_f1,disparity_gap
tfidf_linearsvc,val,0.7211796246648794,0.6742754048852616,0.7078150364995506,0.9444444444444444
tfidf_linearsvc,test,0.7158176943699732,0.6656520070472027,0.705899141298025,0.9411764705882353
sbert_rf,val,0.6863270777479893,0.6108429921551929,0.6665392752378522,0.972972972972973
sbert_rf,test,0.6809651474530831,0.6201084998796411,0.6641214119318986,0.8947368421052632
sbert_linearsvc,val,0.7587131367292225,0.695445207735362,0.7512054799072555,0.972972972972973
sbert_linearsvc,test,0.7640750670241286,0.7240688837115566,0.757299398986747,0.7214285714285714
